timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-05-09T01:00:28-05:00;-75;21;105;137;;;-80;20;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:05:29-05:00;-75;21;105;137;;;-79;21;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:09:31-05:00;-75;21;105;137;;;-79;21;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:14:33-05:00;-75;21;105;137;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:19:34-05:00;-75;21;104;103;;;-79;21;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:24:36-05:00;-75;21;105;137;;;-80;20;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:29:37-05:00;-75;21;104;103;;;-79;21;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:34:39-05:00;-75;21;105;137;;;-79;21;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:39:40-05:00;-75;21;105;137;;;-80;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:44:42-05:00;-75;21;105;137;;;-80;20;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:49:44-05:00;-75;21;105;137;;;-79;21;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:54:45-05:00;-75;21;105;137;;;-80;20;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T01:59:47-05:00;-75;21;105;137;;;-80;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T02:04:49-05:00;-75;21;105;137;;;-80;20;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T02:09:51-05:00;-75;21;105;137;;;-81;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T02:14:52-05:00;-75;21;105;137;;;-80;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T02:19:54-05:00;-75;21;104;103;;;-81;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T02:24:55-05:00;-76;20;105;137;;;-80;19;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T02:29:56-05:00;-76;20;204;154;;;-80;20;106;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T02:34:58-05:00;-76;20;105;137;;;-78;20;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T02:39:59-05:00;-76;20;104;103;;;-80;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T02:45:01-05:00;-76;20;105;137;;;-80;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T02:50:04-05:00;-76;20;105;137;;;-80;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T02:55:06-05:00;-76;20;105;137;;;-80;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T03:00:08-05:00;-76;20;105;137;;;-79;21;105;;;;reconstructed_from_agg_ap_dl_rate
