timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-05-09T19:35:28-05:00;-76;20;104;103;;;-79;19;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T19:40:29-05:00;-76;20;105;137;;;-78;20;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T19:44:30-05:00;-76;20;104;103;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T19:49:32-05:00;-76;20;103;68;;;-80;18;101;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T19:54:33-05:00;-76;20;104;103;;;-79;19;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T19:59:35-05:00;-76;20;104;103;;;-80;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:04:36-05:00;-76;20;104;103;;;-80;18;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:09:38-05:00;-76;20;104;103;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:14:39-05:00;-76;20;103;68;;;-80;18;102;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:19:40-05:00;-76;20;104;103;;;-80;18;102;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:24:42-05:00;-76;20;103;68;;;-78;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:29:43-05:00;-76;20;103;68;;;-80;18;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:34:45-05:00;-76;20;104;103;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:39:46-05:00;-76;20;104;103;;;-78;20;102;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:44:49-05:00;-76;20;104;103;;;-80;18;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:49:50-05:00;-76;20;104;103;;;-80;18;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:54:51-05:00;-76;20;104;103;;;-78;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T20:59:53-05:00;-76;20;105;137;;;-79;19;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T21:04:54-05:00;-76;20;104;103;;;-80;18;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T21:09:56-05:00;-76;20;103;68;;;-81;19;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T21:14:57-05:00;-76;20;104;103;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T21:19:59-05:00;-76;20;103;68;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T21:25:00-05:00;-76;20;105;68;;;-82;18;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T21:30:04-05:00;-76;20;103;68;;;-79;19;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T21:35:05-05:00;-76;20;104;103;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T21:40:08-05:00;-76;20;105;68;;;-82;18;102;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T21:45:10-05:00;-76;20;105;137;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T21:50:11-05:00;-76;20;105;137;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T21:55:13-05:00;-76;20;105;137;;;-81;19;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:00:15-05:00;-76;20;105;137;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:05:17-05:00;-76;20;105;137;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:10:18-05:00;-76;20;104;103;;;-81;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:15:19-05:00;-76;20;104;103;;;-80;18;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:20:22-05:00;-76;20;105;137;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:25:23-05:00;-76;20;104;103;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:30:25-05:00;-76;20;104;103;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:35:26-05:00;-76;20;105;137;;;-80;20;105;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:40:28-05:00;-76;20;104;103;;;-81;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:45:29-05:00;-76;20;105;137;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:49:30-05:00;-76;20;104;103;;;-80;18;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:54:32-05:00;-76;20;104;103;;;-79;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T22:59:33-05:00;-76;20;104;103;;;-81;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T23:04:35-05:00;-76;20;104;103;;;-81;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T23:09:36-05:00;-76;20;105;137;;;-78;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T23:14:37-05:00;-76;20;105;137;;;-80;18;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T23:19:39-05:00;-76;20;104;103;;;-81;19;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T23:24:40-05:00;-76;20;105;137;;;-81;19;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T23:29:42-05:00;-76;20;105;137;;;-80;18;103;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T23:34:43-05:00;-76;20;105;137;;;-80;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T23:39:45-05:00;-76;20;104;103;;;-81;19;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T23:44:46-05:00;-76;20;104;103;;;-80;18;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T23:49:48-05:00;-76;20;104;103;;;-80;20;104;;;;reconstructed_from_agg_ap_dl_rate
2026-05-09T23:54:50-05:00;-76;20;105;137;;;-80;20;104;;;;reconstructed_from_agg_ap_dl_rate
